frame,keypoint_index,keypoint_name,x,y,visibility
0,0,nose,194.79525756835938,198.446533203125,0.973909318447113
0,1,left_eye,195.92929077148438,195.95608520507812,0.8703247904777527
0,2,right_eye,191.01217651367188,196.06898498535156,0.9917603731155396
0,3,left_ear,196.7010040283203,199.13941955566406,0.18259501457214355
0,4,right_ear,183.1200714111328,199.7023162841797,0.9805872440338135
0,5,left_shoulder,202.93626403808594,218.17404174804688,0.9957613348960876
0,6,right_shoulder,175.17623901367188,221.27767944335938,0.9960273504257202
0,7,left_elbow,213.53392028808594,235.60531616210938,0.9791837930679321
0,8,right_elbow,161.96420288085938,244.0,0.9743565917015076
0,9,left_wrist,215.7543487548828,254.72393798828125,0.9749273061752319
0,10,right_wrist,170.99269104003906,260.73712158203125,0.9733490347862244
0,11,left_hip,198.87364196777344,259.87322998046875,0.9973838925361633
0,12,right_hip,181.39657592773438,260.5736083984375,0.997569739818573
0,13,left_knee,200.60189819335938,290.4160461425781,0.9764268398284912
0,14,right_knee,185.7119903564453,286.5427551269531,0.9761632084846497
0,15,left_ankle,194.5752410888672,321.0859069824219,0.9352006912231445
0,16,right_ankle,186.42935180664062,316.8716735839844,0.9282864332199097
1,0,nose,198.22622680664062,199.18475341796875,0.8615835309028625
1,1,left_eye,199.33106994628906,196.90599060058594,0.5923099517822266
1,2,right_eye,194.68617248535156,196.93357849121094,0.90068119764328
1,3,left_ear,199.86488342285156,200.42962646484375,0.24439166486263275
1,4,right_ear,186.81439208984375,200.94041442871094,0.9120219349861145
1,5,left_shoulder,206.51519775390625,220.5352783203125,0.9967492818832397
1,6,right_shoulder,178.11985778808594,223.52955627441406,0.9961718916893005
1,7,left_elbow,214.5025177001953,240.33189392089844,0.9883988499641418
1,8,right_elbow,164.3265838623047,246.55441284179688,0.9773130416870117
1,9,left_wrist,217.576416015625,261.1875305175781,0.9840017557144165
1,10,right_wrist,170.74700927734375,263.7232360839844,0.9751201868057251
1,11,left_hip,200.13816833496094,264.2054443359375,0.9981206059455872
1,12,right_hip,182.07479858398438,265.15167236328125,0.9983190894126892
1,13,left_knee,199.86582946777344,297.8339538574219,0.99007648229599
1,14,right_knee,183.47988891601562,296.93499755859375,0.9915766716003418
1,15,left_ankle,194.55601501464844,328.8243103027344,0.9730373024940491
1,16,right_ankle,185.60708618164062,328.7988586425781,0.9728056192398071
2,0,nose,200.72348022460938,211.32493591308594,0.8113547563552856
2,1,left_eye,202.38742065429688,208.64100646972656,0.5085115432739258
2,2,right_eye,197.7122039794922,208.75772094726562,0.8168649673461914
2,3,left_ear,203.52471923828125,209.064697265625,0.2506996691226959
2,4,right_ear,190.12107849121094,209.37588500976562,0.8321143388748169
2,5,left_shoulder,209.23684692382812,224.2164306640625,0.9971617460250854
2,6,right_shoulder,180.11952209472656,226.09165954589844,0.9961434602737427
2,7,left_elbow,216.70547485351562,246.1090850830078,0.9931064248085022
2,8,right_elbow,165.14572143554688,248.95767211914062,0.9792277216911316
2,9,left_wrist,218.9603271484375,268.7800598144531,0.9881088137626648
2,10,right_wrist,169.5260772705078,267.24365234375,0.9730486869812012
2,11,left_hip,200.27169799804688,266.9580078125,0.9979099631309509
2,12,right_hip,182.32620239257812,267.5668029785156,0.9977269768714905
2,13,left_knee,197.98109436035156,300.583740234375,0.9921964406967163
2,14,right_knee,182.09176635742188,301.00091552734375,0.9890522360801697
2,15,left_ankle,194.48977661132812,334.5771179199219,0.9795966148376465
2,16,right_ankle,185.07821655273438,332.7863464355469,0.9685483574867249
3,0,nose,203.958984375,209.0490264892578,0.7352964878082275
3,1,left_eye,205.326904296875,206.6707305908203,0.3445146977901459
3,2,right_eye,200.92337036132812,206.52540588378906,0.7274779081344604
3,3,left_ear,205.6453094482422,208.72784423828125,0.20207196474075317
3,4,right_ear,192.75120544433594,208.47378540039062,0.834959864616394
3,5,left_shoulder,210.8768310546875,226.73403930664062,0.9975626468658447
3,6,right_shoulder,181.0716552734375,227.29379272460938,0.9961510896682739
3,7,left_elbow,219.42037963867188,248.883544921875,0.9923155307769775
3,8,right_elbow,165.48873901367188,249.7578125,0.9775816798210144
3,9,left_wrist,221.8623046875,271.2981262207031,0.984184741973877
3,10,right_wrist,166.8749542236328,270.7358703613281,0.9694927930831909
3,11,left_hip,201.26397705078125,270.2900390625,0.997856080532074
3,12,right_hip,182.70510864257812,270.24755859375,0.9973652958869934
3,13,left_knee,200.41590881347656,304.05621337890625,0.9891678094863892
3,14,right_knee,181.8983154296875,302.99755859375,0.981487512588501
3,15,left_ankle,197.68458557128906,338.958740234375,0.9718254804611206
3,16,right_ankle,183.8044891357422,336.4886474609375,0.9472145438194275
4,0,nose,204.81979370117188,208.01071166992188,0.951132595539093
4,1,left_eye,206.15184020996094,205.61614990234375,0.7164166569709778
4,2,right_eye,201.1276092529297,205.6471405029297,0.9791132807731628
4,3,left_ear,206.88912963867188,208.96783447265625,0.1882513463497162
4,4,right_ear,193.28797912597656,209.2673797607422,0.9736573100090027
4,5,left_shoulder,213.23419189453125,228.5901641845703,0.9975905418395996
4,6,right_shoulder,181.12554931640625,228.98428344726562,0.9966828227043152
4,7,left_elbow,220.39703369140625,250.45054626464844,0.9905288815498352
4,8,right_elbow,165.82159423828125,251.10108947753906,0.9556806087493896
4,9,left_wrist,223.23574829101562,272.73583984375,0.9801855087280273
